iter	LogLikelihoodOfPrediction	Logloss
323	0.8720452595	0.2651076215
324	0.8720666252	0.2651048882
325	0.8720691536	0.2651046696
326	0.8720714383	0.2651043689
327	0.8720762349	0.2651037949
328	0.8720809137	0.265103139
329	0.8721408929	0.2650959232
330	0.8721450893	0.2650953218
331	0.8721475844	0.2650950212
332	0.8721497577	0.2650948025
333	0.872151755	0.2650944472
334	0.8721558921	0.2650940645
335	0.8721579617	0.2650936819
336	0.8721597538	0.2650935999
337	0.8722041458	0.265088106
338	0.8722059153	0.2650878327
339	0.8722914942	0.265077501
340	0.8722931128	0.2650772277
341	0.8722946016	0.265077009
342	0.8722960808	0.2650768177
343	0.8722973262	0.2650766537
344	0.872302143	0.2650759977
345	0.8723032676	0.2650760524
346	0.8723042942	0.265075779
347	0.8723087261	0.2650751777
348	0.8723277538	0.2650729365
349	0.8723288019	0.2650727998
350	0.872354199	0.2650696839
351	0.8724159658	0.2650622767
352	0.8724201369	0.2650616208
353	0.8724239894	0.2650610741
354	0.8724250944	0.2650609921
355	0.8724286927	0.2650605548
356	0.8724797008	0.2650542956
357	0.8724808982	0.2650542136
358	0.8725274929	0.2650485011
359	0.8725285326	0.2650482825
360	0.8725294801	0.2650482278
361	0.8725328836	0.2650478451
362	0.8726054471	0.2650388527
363	0.8726063151	0.2650386887
364	0.8726470013	0.2650337962
365	0.8726637553	0.2650318282
366	0.8726666008	0.2650313909
367	0.8727258196	0.2650240385
368	0.8727284836	0.2650237378
369	0.8727294706	0.2650236011
370	0.8727303463	0.2650236011
371	0.8727328885	0.2650233278
372	0.8727337406	0.2650231365
373	0.8727474507	0.2650214692
374	0.8727482838	0.2650214419
375	0.8728049934	0.2650144447
376	0.8728073374	0.2650142261
377	0.8729007057	0.2650026917
378	0.8729015355	0.2650026097
379	0.8729023223	0.2650023637
380	0.8729031527	0.2650023637
381	0.8729039366	0.2650024457
382	0.8729061327	0.2650021451
383	0.8729067852	0.2650018717
384	0.8729956593	0.2649909934
385	0.8730142729	0.2649888341
386	0.8730435394	0.2649851715
387	0.8730455349	0.2649849802
388	0.8730462105	0.2649848709
389	0.8730558201	0.2649837229
390	0.8730577376	0.2649834222
391	0.8731604436	0.2649709312
392	0.8731610039	0.2649707946
393	0.8731628567	0.2649706033
394	0.8731633975	0.2649706033
395	0.8731639068	0.2649705759
396	0.8731643422	0.2649704666
397	0.8731807366	0.264968362
398	0.8731864188	0.2649677333
399	0.8732205074	0.2649635515
400	0.8732363275	0.2649616655
401	0.8732583781	0.2649588502
402	0.8732588163	0.2649587409
403	0.8732606325	0.2649585223
404	0.873262343	0.2649583036
405	0.8732639015	0.2649583309
406	0.8732643441	0.2649582489
407	0.8732647973	0.2649582489
408	0.8732652151	0.2649581669
409	0.8732810923	0.2649562263
410	0.873295305	0.2649543404
411	0.8732957026	0.2649542857
412	0.8732960791	0.2649542584
413	0.8732976431	0.2649540397
414	0.8732980062	0.2649540124
415	0.8732983461	0.264953903
416	0.8732986675	0.264953985
417	0.8732989357	0.2649539577
418	0.8732992142	0.2649537937
419	0.8733391924	0.2649490925
420	0.8734303364	0.2649378588
421	0.8734355443	0.2649370935
422	0.8735031322	0.2649289211
423	0.8735178402	0.2649270625
424	0.8735210311	0.2649265978
425	0.8735342843	0.2649251218
426	0.8735344671	0.2649251492
427	0.8736126764	0.2649154461
428	0.8736453723	0.2649114009
429	0.8736455882	0.2649114829
430	0.8736487476	0.2649110729
431	0.8736489588	0.2649110182
432	0.8736491472	0.2649109909
433	0.8736626073	0.2649095149
434	0.8736772757	0.264907465
435	0.8736788735	0.2649074103
436	0.8736803402	0.2649072737
437	0.8737144058	0.2649029551
438	0.8737157774	0.2649028731
439	0.8737996935	0.2648925141
440	0.8738074578	0.2648916668
441	0.8738076956	0.2648916121
442	0.8738471185	0.2648866376
443	0.8739135715	0.2648786291
444	0.873918096	0.2648780825
445	0.8739194599	0.2648777818
446	0.8739196318	0.2648777818
447	0.8739330948	0.2648761692
448	0.8739343571	0.2648760052
449	0.8739345083	0.2648760325
450	0.873943867	0.2648748025
451	0.8739440355	0.2648748025
452	0.8739452229	0.2648747752
453	0.8739453821	0.2648746932
454	0.8740400165	0.2648631315
455	0.8740547928	0.2648612456
456	0.8740700756	0.2648594416
457	0.8741309192	0.2648520072
458	0.8741809546	0.2648458847
459	0.8741875737	0.264844928
460	0.8741886688	0.2648448187
461	0.8742342339	0.2648393795
462	0.8743252461	0.2648281185
463	0.8743254175	0.2648281732
464	0.8744011581	0.2648188527
465	0.8744063918	0.2648182514
466	0.8744112312	0.2648175408
467	0.8744136821	0.2648173768
468	0.8744184049	0.2648168575
469	0.8744185463	0.2648168028
470	0.8744209443	0.2648163382
471	0.8744219405	0.2648161468
472	0.8744241675	0.2648159555
473	0.8744469238	0.2648132496
474	0.8744756248	0.2648096963
475	0.8744881004	0.2648081657
476	0.874511188	0.2648053231
477	0.8745724334	0.2647978887
478	0.8745827747	0.2647965767
479	0.8745871735	0.2647959207
480	0.8745894647	0.264795702
481	0.8745916122	0.2647954561
482	0.8746036703	0.2647938708
483	0.8746187934	0.2647922035
484	0.8746197855	0.2647920941
485	0.8746370199	0.2647898529
486	0.8746371029	0.2647898529
487	0.8747149097	0.2647804231
488	0.8747535243	0.2647756126
489	0.874758014	0.2647751206
490	0.8747581001	0.2647751206
491	0.874760996	0.2647747653
492	0.8748357162	0.2647656089
493	0.8748416631	0.2647648709
494	0.8748465761	0.2647642149
495	0.8748487208	0.2647639143
496	0.8748554014	0.2647631763
497	0.8748880392	0.2647591311
498	0.874899886	0.2647577644
499	0.8749149306	0.2647559331
500	0.8749603839	0.2647503573
501	0.8749809565	0.26474787
502	0.8749811143	0.2647478154
503	0.8749812746	0.264747788
504	0.87498208	0.2647477334
505	0.8750719865	0.2647366637
506	0.8751239892	0.2647302952
507	0.8751241356	0.2647302952
508	0.8751249126	0.2647300765
509	0.8751756785	0.2647238993
510	0.8751778599	0.264723626
511	0.875180442	0.2647233254
512	0.8751824809	0.2647231067
513	0.8751907826	0.2647221227
514	0.8751958715	0.2647213301
515	0.87519669	0.2647213574
516	0.8751986503	0.2647211388
517	0.8752004337	0.2647208928
518	0.8752042389	0.2647203188
519	0.8752080924	0.2647199361
520	0.8752194783	0.2647185695
521	0.8752195959	0.2647185968
522	0.8752213737	0.2647183235
523	0.8752220381	0.2647182415
524	0.8752449129	0.2647153989
